timestamp,table_a,table_b
3/22/2019 11:59:53,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:59:54,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 12:00:01,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:01,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:03,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:07,"Table A is cases by variable, i.e. wider","Table B is repeated observation/measurement of cases by variable, i.e. longer"
3/22/2019 12:00:11,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:12,Table A is shallower than Table B,Table B is deeper than Table A
3/22/2019 12:00:15,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:21,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:38,buxom,gaunt
3/22/2019 12:00:43,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:00:44,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:00:54,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:01:17,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:01:26,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:01:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:01:46,Table A is more compact than Table B,Table B is wider than Table A
3/22/2019 12:01:57,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:01,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:04,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:02:15,"%>% select(x, y, z) %>%",%>% filter(n=='x'|n=='y'|n=='z') %>%
3/22/2019 12:02:22,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:25,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:28,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:38,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 12:02:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:02:59,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:02:59,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:03:01,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:16,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 12:03:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:20,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:20,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:03:22,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:24,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:40,Table A is coiled up compared to table B,Table B is stretched out compared to Table A
3/22/2019 12:03:41,Table A is horizontal vs Table B is vertical,Table B is portrait vs. Table A is landscape
3/22/2019 12:03:46,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:03:49,Table A is smaller than Table B,Table B is bigger than Table A
3/22/2019 12:03:55,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:06,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:04:10,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:19,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:19,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:22,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:04:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:38,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:49,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:04:51,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:04:57,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:05:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:03,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:10,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:12,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:28,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:33,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:40,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:44,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:05:46,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:05:56,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:06:04,Table A is shallower than Table B,Table B is longer than Table A
3/22/2019 12:06:12,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:06:16,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:06:33,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:06:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:06:39,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:06:44,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:06:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:03,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:18,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:07:23,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:07:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:36,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:44,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:07:52,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:56,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:07:58,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:07:59,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:04,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:06,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:08:15,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:24,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:27,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:32,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:08:33,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:08:37,Table A looks like a waffle,NA
3/22/2019 12:08:55,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:04,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:17,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:32,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:09:45,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:09:51,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:09:59,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:10:01,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:10:02,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:10:06,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:10:10,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:10:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:10:49,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:11:06,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:11:06,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:11:09,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:11:20,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:11:24,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:11:47,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:05,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:38,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:12:47,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:57,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:59,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:12:59,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:13:03,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 12:13:13,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:13:13,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:13:14,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 12:13:23,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:13:27,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:13:57,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:14:07,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:14:19,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:14:20,A is more collective than B,B is more individual than A
3/22/2019 12:14:36,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:14:38,Table A is shorter than Table B,Table B is narrower than Table A
3/22/2019 12:14:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:15:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:15:35,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 12:15:48,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:15:53,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:15:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:15:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:16:09,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:16:12,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 12:16:14,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 12:16:14,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 12:16:16,NA,NA
